CAR_NAME,MODEL,NO_OF_YEARS,DEALER,MILES_DRIVEN,RATE,NO_OF_REVIEWS,PRICE
Audi A4 2.0T Premium Plus,2018,3,The Audi Exchange,43152,4.8,654,29587
Audi Q5 3.0T Premium Plus,2016,5,Fletcher Jones Audi,32666,4.8,1048,31881
Audi S5 3.0 Prestige quattro,2012,9,Volkswagen of Downtown Chicago,28552,4.6,1442,29000
Audi Q3 45 S line Premium,2019,0,Volkswagen of Downtown Chicago,16027,4.6,1442,39000
Audi Q5 2.0T Premium Plus,2014,7,Toyota of Lincoln Park,64698,4.2,216,20900
Audi Q7 3.0T Prestige,2018,3,Perillo BMW,38653,4.4,576,47998
Audi Q7 55 Prestige,2019,1,Fletcher Jones Audi,16419,4.8,1048,52999
Audi A4 2.0T Premium,2018,3,Fletcher Jones Audi,43369,4.8,1048,30500
Audi A5 2.0T Premium,2018,3,Fletcher Jones Audi,10340,4.8,1048,45551
Audi Q3 2.0T Premium,2018,3,McGrath Lexus Chicago,10779,4.8,1074,34928
Audi A5 2.0T Premium,2018,3,Fletcher Jones Audi,17389,4.8,1048,42851
Audi A8 L 3.0T,2019,2,Fletcher Jones Audi,28501,4.8,1048,52999
Audi Q5 2.0T Premium Plus,2016,5,"Howard Orloff Jaguar, Volvo Cars, Land Rover",46677,4.7,159,27995
Audi SQ5 3.0T Premium Plus,2018,3,Baha Auto Sales,59663,4.1,43,48995
Audi A4 2.0T Premium,2017,4,The Autobarn Volvo Cars of Oak Park,72898,4.8,902,23991
Audi A4 2.0T Premium quattro,2010,11,Luxury Auto Selection,97074,4.1,34,10985
Audi Q7 3.0T S line Prestige,2014,7,Chicago Northside Toyota,97074,4.1,425,19490
Audi Q7 3.0T Premium Plus,2018,3,Toyota of Lincolnwood,17390,4.2,306,52577
Audi A4 2.0T Premium Plus quattro,2014,7,McGrath City Honda,32593,4.7,989,22325
Audi S5 3.0T Prestige,2018,3,The Autobarn Collection,41931,4.6,44,49879
Audi Q7 3.0T S line Prestige,2014,7,Chicago Cars US,97074,4.6,44,17985
Audi Q7 3.0 TDI Premium,2014,7,Chicago Cars US,97074,4.2,28,16985
Audi A4 2.0T Premium Plus quattro,2013,8,Baha Auto Group Inc.,88509,4.8,495,18995
Audi S5 3.0 Premium Plus quattro,2012,9,iCars Chicago,62674,4.8,495,26888
Audi S4 4.2 quattro Cabriolet,2009,12,iCars Chicago,56024,4.1,1943,21888
Audi A3 2.0T Premium,2018,3,Sherman Dodge Chrysler Jeep RAM,30608,4.8,495,25921
Audi S6 5.2 quattro,2008,13,iCars Chicago,58602,4.2,361,19888
Audi Q8 3.0T Premium,2019,2,Audi Morton Grove,10222,4.2,361,52999
Audi Q7 3.0T Premium Plus,2018,3,Audi Morton Grove,40295,4.2,361,45490
Audi Q3 45 S line Premium,2019,0,Audi Morton Grove,16431,4.4,234,39999
Audi Q7 3.0T S line Prestige,2013,8,Midway Autohaus,81415,4.2,361,21792
Audi SQ5 3.0T Premium Plus,2018,3,Audi Morton Grove,56431,4.2,361,41999
Audi A4 2.0T Premium Plus,2019,2,Audi Morton Grove,19653,4.2,361,32999
Audi Q5 2.0T Premium Plus,2019,2,Audi Morton Grove,11246,4.2,361,43999
Audi A5 2.0T Premium Plus,2018,3,Audi Morton Grove,40702,4.8,68,35999
Audi Q8 3.0T Premium,2019,2,Motorcars Express,10096,4.8,3,52999
Audi Q7 3.0T Premium Plus,2018,3,Chicago Auto Place,29671,4.8,1564,48888
Audi A5 2.0T Premium Plus,2018,3,INFINITI of Clarendon Hills,58836,4.6,322,43579
Audi S5 3.0T Premium Plus quattro,2014,7,Highline Auto Sales,85426,4.6,322,24775
Audi A7 3.0T Prestige quattro,2012,9,Highline Auto Sales,46229,4.6,322,27995
Audi A6 3.0T Prestige quattro,2012,9,Highline Auto Sales,97074,4.3,138,14995
Audi Q8 55 Premium,2019,0,Ultimo Motors East,16184,4.7,1108,52999
Audi Q5 2.0T Premium Plus,2014,7,McGrath Acura of Westmont,81316,4.7,603,19788
Audi A4 2.0T Premium Plus,2018,3,Audi Westmont,15215,4.7,603,30459
Audi Q5 2.0T Premium,2017,4,Audi Westmont,84827,4.8,715,23775
Audi Q8 55 Premium,2019,0,Napleton Porsche of Westmont,4786,4.7,603,52999
Audi Q7 3.0T S line Prestige,2014,7,Audi Westmont,97074,4.3,138,21305
Audi Q7 3.0T Prestige,2018,3,Ultimo Motors East,45255,4.7,524,51900
Audi A4 2.0T Premium,2014,7,International Car Center,64617,4.4,7,17490
Audi A4 2.0T Premium,2014,7,Top Gear Motors,88602,4.8,695,14945
Audi A5 2.0T Premium Plus,2018,3,INFINITI of Orland Park A Zeigler Auto Group Company,17688,4.8,695,36693
